"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"1";"";"10-XX";"B3F-10XX";"S1";"OMRON SWITCH";"";"B3F-1000";"176432";"36M3542";
"1";"";"LED3MM";"LED3MM";"LED1";"LED";"";"";"";"";
"2";"";"PINHD-1X2";"1X02";"JP2, JP5";"PIN HEADER";"";"";"";"";
"2";"";"PINHD-1X3CB";"1X03-CLEANBIG";"JP1, JP3";"PIN HEADER";"";"";"";"";
"1";"";"PINHD-1X4";"1X04";"JP4";"PIN HEADER";"";"";"";"";
"1";"0";"R-EU_0204/5";"0204/5";"R5";"RESISTOR, European symbol";"";"";"";"";
"1";"0.1uf";"C-EU050-024X044";"C050-024X044";"C2";"CAPACITOR, European symbol";"";"";"";"";
"1";"0.33uf";"C-EU050-024X044";"C050-024X044";"C1";"CAPACITOR, European symbol";"";"";"";"";
"3";"10k";"R-EU_0204/5";"0204/5";"R1, R2, R4";"RESISTOR, European symbol";"";"";"";"";
"1";"1N4004";"1N4004";"DO41-10";"D1";"DIODE";"";"";"";"";
"2";"2.1MMJACKTHM";"2.1MMJACKTHM";"PJ-102A";"U$5, U$8";"2.1mm x 5.5mm THM DC jack with internal switch. Digikey part #PJ-102A, 4UCON part #05537";"";"";"";"";
"1";"300R";"R-EU_0204/5";"0204/5";"R6";"RESISTOR, European symbol";"";"";"";"";
"1";"330R";"R-EU_0204/5";"0204/5";"R3";"RESISTOR, European symbol";"";"";"";"";
"1";"7805TV";"7805TV";"TO220V";"IC1";"Positive VOLTAGE REGULATOR";"";"";"";"";
"2";"NTD4963NT0220";"NTD4963NT0220";"T0220";"IC2, IC3";"";"";"";"";"";
"1";"RFID-RC522NOHOLES";"RFID-RC522NOHOLES";"RFID-RC522-NOHOLES";"U$14";"";"";"";"";"";
"2";"RJ45-RDF";"RJ45-RDF";"RJ45-RDF";"X1, X2";"";"";"";"";"";
"1";"WEMOS";"WEMOS";"WEMOS";"U$1";"";"";"";"";"";
